dataset,model,loss,accuracy
informative_agreed,vgg16,0.38232526183128357,0.8324641585350037
informative_agreed,densenet,0.37457984685897827,0.8350716829299927
informative_agreed,mobilenetv2,0.41171663999557495,0.8194263577461243
informative_agreed,inceptionv3,0.44961270689964294,0.7979139685630798
informative_agreed,resnet50,0.4878193438053131,0.7829204797744751
humanitarian_agreed,vgg16,0.6077259182929993,0.7612565159797668
humanitarian_agreed,densenet,0.5346969366073608,0.8052356243133545
humanitarian_agreed,mobilenetv2,0.658414363861084,0.7675392627716064
humanitarian_agreed,inceptionv3,0.7300131320953369,0.7235602140426636
humanitarian_agreed,resnet50,0.8049934506416321,0.690052330493927
damage_all,vgg16,0.7924526929855347,0.6502835750579834
damage_all,densenet,0.7810143828392029,0.6672967672348022
damage_all,mobilenetv2,0.8263376951217651,0.6351606845855713
damage_all,inceptionv3,0.8781176805496216,0.6313799619674683
damage_all,resnet50,0.8687266707420349,0.6162570714950562
informative_all,vgg16,0.44248437881469727,0.787214994430542
informative_all,densenet,0.42459163069725037,0.8082252740859985
informative_all,mobilenetv2,0.46521133184432983,0.7773804068565369
informative_all,inceptionv3,0.525617241859436,0.7483236193656921
informative_all,resnet50,0.5377918481826782,0.7215020060539246
humanitarian_all,vgg16,0.8046729564666748,0.7022798657417297
humanitarian_all,densenet,0.7427254319190979,0.7340188026428223
humanitarian_all,mobilenetv2,0.8590922355651855,0.700491726398468
humanitarian_all,inceptionv3,0.959417998790741,0.6602592468261719
humanitarian_all,resnet50,1.030885100364685,0.635225772857666
informative_agreed,"('vgg16', 'densenet')",0.34935083985328674,0.8461538553237915
informative_agreed,"('vgg16', 'mobilenetv2')",0.3715699017047882,0.8331160545349121
informative_agreed,"('vgg16', 'inceptionv3')",0.3802199363708496,0.8298565745353699
informative_agreed,"('vgg16', 'resnet50')",0.39992526173591614,0.8246414661407471
informative_agreed,"('densenet', 'mobilenetv2')",0.361700177192688,0.834419846534729
informative_agreed,"('densenet', 'inceptionv3')",0.3706144094467163,0.8396349549293518
informative_agreed,"('densenet', 'resnet50')",0.3847922086715698,0.8337679505348206
informative_agreed,"('mobilenetv2', 'inceptionv3')",0.3902890682220459,0.8220338821411133
informative_agreed,"('mobilenetv2', 'resnet50')",0.4102873206138611,0.8200782537460327
informative_agreed,"('inceptionv3', 'resnet50')",0.42888322472572327,0.8018252849578857
humanitarian_agreed,"('vgg16', 'densenet')",0.5305458307266235,0.8031413555145264
humanitarian_agreed,"('vgg16', 'mobilenetv2')",0.5860618948936462,0.7905759215354919
humanitarian_agreed,"('vgg16', 'inceptionv3')",0.5996150374412537,0.773822009563446
humanitarian_agreed,"('vgg16', 'resnet50')",0.651310384273529,0.7706806063652039
humanitarian_agreed,"('densenet', 'mobilenetv2')",0.5418235063552856,0.8062826991081238
humanitarian_agreed,"('densenet', 'inceptionv3')",0.552264928817749,0.7968586683273315
humanitarian_agreed,"('densenet', 'resnet50')",0.5939368605613708,0.7937172651290894
humanitarian_agreed,"('mobilenetv2', 'inceptionv3')",0.6141722202301025,0.7780104875564575
humanitarian_agreed,"('mobilenetv2', 'resnet50')",0.6579209566116333,0.7675392627716064
humanitarian_agreed,"('inceptionv3', 'resnet50')",0.6865273118019104,0.7560209631919861
damage_all,"('vgg16', 'densenet')",0.7511267066001892,0.6691871285438538
damage_all,"('vgg16', 'mobilenetv2')",0.7707680463790894,0.6502835750579834
damage_all,"('vgg16', 'inceptionv3')",0.7904911041259766,0.6540642976760864
damage_all,"('vgg16', 'resnet50')",0.8039349317550659,0.6521739363670349
damage_all,"('densenet', 'mobilenetv2')",0.7532193660736084,0.6616256833076477
damage_all,"('densenet', 'inceptionv3')",0.7682204842567444,0.6540642976760864
damage_all,"('densenet', 'resnet50')",0.7770395874977112,0.6502835750579834
damage_all,"('mobilenetv2', 'inceptionv3')",0.7970390319824219,0.6446124911308289
damage_all,"('mobilenetv2', 'resnet50')",0.8048543334007263,0.6389414072036743
damage_all,"('inceptionv3', 'resnet50')",0.8294564485549927,0.6389414072036743
informative_all,"('vgg16', 'densenet')",0.4063417315483093,0.8109074831008911
informative_all,"('vgg16', 'mobilenetv2')",0.4260790944099426,0.8006258606910706
informative_all,"('vgg16', 'inceptionv3')",0.44737744331359863,0.7863209843635559
informative_all,"('vgg16', 'resnet50')",0.45994728803634644,0.7907912135124207
informative_all,"('densenet', 'mobilenetv2')",0.4150700271129608,0.8144837021827698
informative_all,"('densenet', 'inceptionv3')",0.4339401125907898,0.8042020797729492
informative_all,"('densenet', 'resnet50')",0.44192245602607727,0.8010728359222412
informative_all,"('mobilenetv2', 'inceptionv3')",0.4564764201641083,0.7885560989379883
informative_all,"('mobilenetv2', 'resnet50')",0.46539735794067383,0.7845328450202942
informative_all,"('inceptionv3', 'resnet50')",0.49411463737487793,0.7603933811187744
humanitarian_all,"('vgg16', 'densenet')",0.7086149454116821,0.7411712408065796
humanitarian_all,"('vgg16', 'mobilenetv2')",0.7679759860038757,0.727760374546051
